atom,resid,100ps,200ps,300ps,400ps,500ps,600ps,700ps,800ps,900ps,1000ps,Mean_100-1
OD1,terA,-9.92E-01,-9.86E-01,-1.01E+00,-9.72E-01,-9.66E-01,-1.00E+00,-9.89E-01,-9.84E-01,-9.76E-01,-9.78E-01,-0.9858125
CD3,terA,1.93E-02,7.49E-02,7.93E-02,5.41E-02,7.44E-02,9.49E-02,7.92E-02,6.08E-02,7.96E-02,1.03E-01,0.07194402
CD4,terA,1.25E-01,5.24E-02,5.67E-02,3.63E-02,7.54E-02,4.89E-02,9.79E-02,8.03E-02,5.88E-02,1.96E-02,0.06514116
CD5,terA,4.45E-01,4.67E-01,4.57E-01,4.33E-01,3.64E-01,4.40E-01,4.02E-01,3.94E-01,4.13E-01,4.26E-01,0.4241233
HD3,terA,9.42E-02,1.04E-01,7.67E-02,1.00E-01,1.35E-01,8.57E-02,1.00E-01,8.95E-02,1.13E-01,9.48E-02,0.0993108
CA1,terA,1.48E+00,1.52E+00,1.50E+00,1.49E+00,1.46E+00,1.50E+00,1.47E+00,1.49E+00,1.52E+00,1.47E+00,1.4906442
OA1,terA,-1.13E+00,-1.12E+00,-1.11E+00,-1.10E+00,-1.09E+00,-1.10E+00,-1.11E+00,-1.11E+00,-1.13E+00,-1.10E+00,-1.1108404
OA2,terA,-1.04E+00,-1.05E+00,-1.03E+00,-1.03E+00,-1.03E+00,-1.06E+00,-1.05E+00,-1.04E+00,-1.04E+00,-1.02E+00,-1.0394063
CA2,terA,4.94E-01,5.11E-01,5.16E-01,5.01E-01,5.07E-01,5.44E-01,5.24E-01,5.19E-01,5.02E-01,5.10E-01,0.51276326
CA3,terA,3.83E-01,3.86E-01,3.62E-01,3.96E-01,3.78E-01,3.23E-01,3.78E-01,3.53E-01,3.71E-01,3.66E-01,0.36968646
NA1,terA,-1.10E+00,-1.12E+00,-1.12E+00,-1.10E+00,-1.12E+00,-1.12E+00,-1.08E+00,-1.10E+00,-1.04E+00,-1.06E+00,-1.0965216
HA1,terA,4.05E-01,3.97E-01,3.99E-01,3.87E-01,3.98E-01,4.30E-01,3.80E-01,4.09E-01,3.85E-01,3.54E-01,0.3944186
HA2,terA,3.78E-01,3.92E-01,4.11E-01,3.63E-01,4.02E-01,3.89E-01,3.79E-01,3.85E-01,3.45E-01,3.90E-01,0.3834155
CB1,terA,1.49E+00,1.48E+00,1.49E+00,1.47E+00,1.48E+00,1.50E+00,1.47E+00,1.48E+00,1.50E+00,1.48E+00,1.4836859
OB1,terA,-1.10E+00,-1.11E+00,-1.12E+00,-1.08E+00,-1.11E+00,-1.13E+00,-1.12E+00,-1.10E+00,-1.12E+00,-1.10E+00,-1.1085596
OB2,terA,-1.04E+00,-1.03E+00,-1.05E+00,-1.05E+00,-1.05E+00,-1.05E+00,-1.02E+00,-1.04E+00,-1.05E+00,-1.05E+00,-1.0419169
CB2,terA,5.18E-01,4.56E-01,4.82E-01,5.03E-01,4.85E-01,5.17E-01,5.26E-01,4.87E-01,5.28E-01,5.15E-01,0.50160818
CB3,terA,3.63E-01,4.31E-01,4.16E-01,4.04E-01,4.30E-01,4.02E-01,3.82E-01,4.07E-01,4.05E-01,3.79E-01,0.40198795
NB1,terA,-1.07E+00,-1.12E+00,-1.09E+00,-1.03E+00,-1.17E+00,-1.11E+00,-1.10E+00,-1.14E+00,-1.15E+00,-1.12E+00,-1.1096523
HB1,terA,3.79E-01,3.89E-01,3.96E-01,3.49E-01,3.95E-01,3.83E-01,3.63E-01,3.65E-01,4.03E-01,4.11E-01,0.3833076
HB2,terA,3.85E-01,4.12E-01,3.70E-01,3.48E-01,4.34E-01,3.88E-01,3.96E-01,4.24E-01,3.90E-01,3.87E-01,0.3934841
CD6,terA,-1.48E-01,-1.08E-01,-1.31E-01,2.31E-02,-1.12E-01,4.64E-02,6.01E-02,-7.40E-02,-7.11E-02,1.96E-03,-0.0512983
HD4,terA,7.88E-02,5.32E-02,8.72E-02,5.11E-02,5.61E-02,-4.43E-03,4.58E-02,6.81E-02,4.31E-02,7.17E-02,0.0550643
