atom,resid,100ps,200ps,300ps,400ps,500ps,600ps,700ps,800ps,900ps,1000ps,Mean_100-1
OA1,OXO0,-0.4449849109,-0.5372271229,-0.5325646342,-0.441716708,-0.5120314678,-0.5050217722,-0.3966648281,-0.4383287829,-0.4275600479,-0.504659882,-0.4740760157
OA2,OXO0,-0.4417126017,-0.5628652238,-0.6297625534,-0.248637069,-0.6193448719,-0.5749256076,-0.6009682581,-0.3267901326,-0.3993017616,-0.4258391091,-0.4830147189
CA2,OXO0,0.34983183,0.3976444254,0.405789713,0.2642611406,0.1158455584,0.3885057092,0.4381323283,0.1941229329,0.4048612724,0.3133771087,0.3272372019
CA3,OXO0,0.311173369,0.2682882141,0.2528798762,0.1767687432,0.4621491017,0.2887916955,0.266445722,0.1800486837,0.2108085885,0.1867936292,0.2604147623
NA1,OXO0,-0.9670576551,-0.9499789116,-0.9363453718,-0.877597435,-0.9679549096,-1.0087329889,-0.9982373129,-0.7655083373,-0.9297068166,-0.8192464357,-0.9220366174
HA1,OXO0,0.3617000733,0.3681072586,0.3619345095,0.3459857253,0.3447985215,0.3752442228,0.336304185,0.2907464454,0.3694813166,0.2908212301,0.3445123488
HA2,OXO0,0.3309844178,0.3127781626,0.3175657651,0.320270404,0.3275771849,0.3396137669,0.3815546605,0.3079132204,0.3132186542,0.3332270322,0.3284703269
CB1,OXO0,0.7979276068,0.5529571797,0.651080873,0.5054597219,0.4557248463,0.7170842353,1.2171261851,0.5991655829,0.4213507786,0.3957681086,0.6313645118
OB1,OXO0,-0.5298308336,-0.5047846924,-0.4781339482,-0.4263294086,-0.4077375426,-0.5197260345,-0.6672144473,-0.4980415895,-0.4612151853,-0.4301144881,-0.492312817
OB2,OXO0,-0.5983570288,-0.4654406555,-0.4636392587,-0.5393150299,-0.2650560507,-0.4668688023,-0.6529825543,-0.3347658444,-0.2759597612,-0.3078059832,-0.4370190969
CB2,OXO0,0.3564768739,0.3947311811,0.2967378412,0.4116699638,0.1813472945,0.1831125362,0.1442043099,0.2418235382,0.197783155,0.2157531141,0.2623639808
CB3,OXO0,0.1664774726,0.2468794918,0.2025922466,0.2366004512,0.161980193,0.331148293,0.4387206617,0.153803065,0.3230849293,0.2622436788,0.2523530483
NB1,OXO0,-0.8233844114,-0.9357246086,-0.8212900204,-0.9190546642,-0.5838129537,-0.8945197191,-0.9614207734,-0.6897480723,-0.8841511152,-0.8865646489,-0.8399670987
HB1,OXO0,0.3167384033,0.3149358779,0.3302361874,0.3043041251,0.2472708678,0.3147325641,0.3356548599,0.2820119559,0.312872586,0.3433466412,0.3102104068
HB2,OXO0,0.2961369377,0.3658743638,0.2874647903,0.3616856405,0.2252460382,0.3458493664,0.3373184273,0.2650341921,0.2444989942,0.3132009389,0.3042309689
CD6,OXO0,-0.417127377,-0.2064535778,-0.5527431229,-0.6536253962,-0.76122496,-0.3422105189,-0.2768054678,0.005185148,-0.5156412241,-0.4402414071,-0.4160887904
HD4,OXO0,0.1741625469,0.156743053,0.2044133439,0.2261126961,0.2217428874,0.1407411344,0.1503460216,0.0352948047,0.2243480564,0.2078005698,0.1741705114
CC1,terA,-0.3460202035,-0.4756540809,-0.3633845761,-0.5597666054,-0.4050109367,-0.4883650923,-0.4828630722,-0.3108245341,-0.4896252143,-0.3479307979,-0.4269445113
